Day,Weather,days_passed,mesh,gram,extraction_time
2025年3月1日,晴,12,8.4,16.0,28
2025年3月2日,晴,13,8.5,16.0,30
2025年3月4日,雨,8,8.5,15.5,29
2025年3月5日,雨,9,8.7,15.6,26
2025年3月6日,くもり,10,8.7,15.6,23
2025年3月7日,くもり,11,8.7,16.2,26
2025年3月8日,晴,12,8.6,15.8,23
2025年3月9日,晴,13,8.5,16.0,30
2025年3月11日,雨,15,8.5,16.0,28
2025年3月12日,くもり,16,8.5,16.3,30
2025年3月13日,くもり,17,8.5,16.3,25
2025年3月14日,晴,18,8.4,16.0,28
2025年3月15日,晴,19,8.3,16.0,31
2025年3月16日,雨,12,8.6,16.0,27
2025年3月18日,晴,14,8.6,16.0,27
2025年3月19日,雪,15,8.5,15.8,27
2025年3月20日,晴,16,8.7,16.2,27
2025年3月21日,晴,11,8.7,16.3,26
2025年3月22日,晴,12,8.7,16.5,24
2025年3月23日,晴,13,8.7,16.6,24
2025年3月25日,晴,15,8.6,16.6,27
2025年3月26日,晴,16,8.6,16.6,27
2025年3月27日,晴,17,8.6,16.6,27
2025年3月28日,くもり,11,8.7,16.3,25
2025年3月30日,晴,13,8.6,16.0,24
