Day,Weather,days_passed,mesh,gram,extraction_time
2025年2月1日,晴/くもり,12,8.2,16.2,26
2025年2月2日,くもり,13,8.2,15.8,33
2025年2月4日,晴,15,8.1,16.0,35
2025年2月5日,晴,16,8.1,15.8,30
2025年2月6日,晴,10,8.2,16.6,32
2025年2月7日,晴,11,8.2,16.6,30
2025年2月8日,雪,12,8.2,16.4,30
2025年2月9日,くもり/雪,13,8.1,16.6,32
2025年2月11日,くもり,8,8.3,16.8,27
2025年2月12日,くもり,9,8.2,16.0,33
2025年2月14日,くもり,11,8.2,16.5,30
2025年2月15日,くもり/晴,12,8.3,15.8,33
2025年2月16日,くもり/晴,13,8.3,16.3,27
2025年2月18日,くもり/晴,8,8.3,16.8,32
2025年2月19日,晴,9,8.3,16.5,28
2025年2月20日,くもり,10,8.4,16.8,27
2025年2月23日,くもり,6,8.6,16.6,26
2025年2月24日,雪,7,8.4,15.8,24
2025年2月25日,晴,8,8.4,16.1,29
2025年2月26日,晴,9,8.4,16.3,28
2025年2月27日,晴,10,8.3,16.0,26
2025年2月28日,くもり,11,8.4,16.2,28
