Day,Weather,days_passed,mesh,gram,extraction_time
2024年12月1日,晴,12,8.1,15.5,26
2024年12月3日,晴,14,8.1,16.0,33
2024年12月4日,くもり,15,8.1,16.2,28
2024年12月5日,晴,10,8.1,16.8,33
2024年12月6日,晴,11,8.1,16.8,36
2024年12月7日,晴,12,8.1,16.5,32
2024年12月8日,晴,13,8.2,16.5,28
2024年12月10日,くもり,15,8.2,16.5,28
2024年12月11日,晴,16,8.2,16.5,28
2024年12月12日,晴,10,8.1,16.5,27
2024年12月13日,晴/くもり,11,8.1,16.5,30
2024年12月14日,雨/くもり,12,8.2,15.2,22
2024年12月15日,晴,13,8.1,15.8,28
2024年12月17日,晴,15,8.1,16.2,28
2024年12月18日,くもり,16,8.0,16.0,28
2024年12月19日,くもり,17,8.1,16.0,27
2024年12月20日,くもり,18,8.0,16.4,30
2024年12月21日,くもり,19,8.1,17.2,33
2024年12月22日,晴,20,8.0,15.8,32
2024年12月23日,くもり,21,8.2,16.8,24
2024年12月24日,くもり,22,8.2,16.0,26
2024年12月25日,くもり,16,8.0,16.0,34
2024年12月26日,晴,17,8.0,15.8,35
2024年12月27日,晴,18,8.0,15.6,35
