Day,Weather,days_passed,mesh,gram,extraction_time
2025年1月3日,晴,25,8.0,15.6,36
2025年1月4日,くもり/晴,26,8.0,15.3,34
2025年1月5日,晴,20,8.0,15.3,35
2025年1月7日,晴,22,8.0,15.6,33
2025年1月8日,晴,23,8.0,15.3,32
2025年1月9日,くもり/晴,24,8.0,15.5,31
2025年1月10日,晴,25,8.0,15.5,34
2025年1月11日,晴,26,8.0,15.1,33
2025年1月11日,晴,17,8.1,15.8,31
2025年1月12日,くもり/晴,18,8.1,15.8,35
2025年1月13日,晴,19,8.1,15.8,36
2025年1月14日,晴,8,8.1,15.5,29
2025年1月15日,くもり,9,8.1,15.5,33
2025年1月16日,くもり,10,8.1,15.3,33
2025年1月17日,くもり,11,8.1,15.6,34
2025年1月18日,くもり/晴,12,8.1,15.4,32
2025年1月19日,晴,13,8.1,16.0,33
2025年1月19日,くもり/晴,12,8.1,15.6,32
2025年1月21日,晴,15,8.2,16.0,31
2025年1月22日,晴,16,8.2,16.6,32
2025年1月23日,くもり,17,8.2,16.4,30
2025年1月24日,晴,18,8.2,16.4,30
2025年1月25日,くもり,19,8.2,16.4,29
2025年1月26日,晴,20,8.1,16.4,34
2025年1月28日,晴,22,8.0,15.8,36
2025年1月29日,晴,9,8.3,15.5,28
2025年1月30日,くもり,10,8.3,16.0,26
2025年1月31日,くもり/雨,11,8.3,16.0,26
