Day,Weather,days_passed,mesh,gram,extraction_time
2025年4月1日,くもり,15,8.7,16.3,26
2025年4月2日,くもり,16,8.7,16.3,29
2025年4月3日,晴,8,8.7,16.0,25
2025年4月4日,くもり,9,8.6,15.8,23
2025年4月5日,晴,10,8.7,15.8,31
2025年4月6日,晴,11,8.7,16.3,27
2025年4月8日,晴,13,8.7,16.8,31
2025年4月9日,晴,14,8.7,16.3,24
2025年4月10日,くもり,15,8.7,16.6,24
2025年4月11日,晴,12,8.6,16.2,28
2025年4月12日,くもり,13,8.6,16.8,27
2025年4月13日,くもり,14,8.5,16.2,33
2025年4月15日,晴/くもり,16,8.6,16.8,27
2025年4月16日,くもり,17,8.6,16.5,30
2025年4月18日,くもり,4,8.7,16.3,25
2025年4月19日,晴,5,8.7,16.8,30
2025年4月20日,くもり,6,8.8,16.8,26
2025年4月22日,晴,8,8.8,16.8,24
2025年4月23日,くもり/雨,9,8.8,16.5,24
2025年4月24日,晴,10,8.8,16.5,19
2025年4月25日,くもり,11,8.7,16.5,23
2025年4月26日,晴,6,8.3,16.8,25
2025年4月28日,くもり,8,8.8,16.6,24
2025年4月29日,晴,9,8.8,16.8,22
2025年4月30日,晴,10,8.8,16.6,22
